weizhi,type
5.561244762258926,内部断股
8.592308799608327,重度断丝
9.622591778942185,中度断丝
10.02075424392819,轻度断丝
10.295039958214057,微小断丝
11.265271572753871,正常
11.583614768020253,微小断丝
12.083819178993975,轻度断丝
13.703367528733542,中度断丝
30.967704182880574,重度断丝
34.47258100540441,中度断丝
35.778364633541244,轻度断丝
36.70110024655254,微小断丝
40.516929226842876,正常
42.18270708720318,微小断丝
53.657641378896024,轻度断丝
56.41591315243695,微小断丝
65.18124790410715,正常
67.50938526933766,微小断丝
71.30973695547503,轻度断丝
97.36194752123856,中度断丝
108.70172127689266,轻度断丝
145.2264123235396,微小断丝
693.3396464163592,轻度断丝
693.453056378046,微小断丝
693.7422677569117,轻度断丝
693.7777889924324,中度断丝
693.922962737604,轻度断丝
693.9785611932017,微小断丝
694.0298124444531,正常
694.0772198518613,微小断丝
694.1453680000105,轻度断丝
694.1868494814927,微小断丝
694.2164791111228,轻度断丝
694.2994420740871,中度断丝
694.3083309629761,轻度断丝
694.3127754074206,微小断丝
694.3557383703843,正常
694.3601828148288,微小断丝
694.3675902222363,轻度断丝
694.4047282693749,中度断丝
694.4138191784658,轻度断丝
694.4198797845264,微小断丝
694.4547282693749,正常
694.4653343299809,微小断丝
705.9582979980352,轻度断丝
712.7497035814279,中度断丝
715.9487371515527,轻度断丝
717.4859373984655,微小断丝
718.4713497428164,正常
719.1910558303437,微小断丝
719.9933597866236,轻度断丝
721.5593340079963,中度断丝
722.0930656325123,轻度断丝
722.3395070415988,微小断丝
722.9762307186162,正常
723.1325181437604,微小断丝
723.3493655781843,轻度断丝
723.8764005794704,中度断丝
725.2604639520015,重度断丝
726.0043931157651,内部断股
726.0115741373664,重度断丝
726.0393151077193,内部断股
726.0458549666777,重度断丝
726.053463430041,中度断丝
726.0572676617227,重度断丝
726.0711381468991,内部断股
726.0733394719733,重度断丝
726.0740661229687,中度断丝
726.0743867042902,轻度断丝
726.0746004251712,微小断丝
726.0755835412238,正常
726.07607509925,微小断丝
726.0776352616813,轻度断丝
726.0781481917957,微小断丝
726.0792167962006,正常
726.0794732612578,微小断丝
726.0798365867555,轻度断丝
726.0808410748962,中度断丝
726.0840682601992,重度断丝
726.091569863122,内部断股
726.1068936502892,重度断丝
726.1103131843851,内部断股
726.1694711242438,重度断丝
726.1979387455921,中度断丝
726.2084538129369,轻度断丝
726.2156134624502,微小断丝
726.2410676193764,正常
726.2494241058232,微小断丝
726.2630167538543,轻度断丝
726.3194176943483,中度断丝
726.3884709109971,重度断丝
726.4001400710993,中度断丝
